date,run_root,calendar_state,calendar_detail,preflight_state,preflight_note,primary_state,primary_observation_result,primary_pipeline_stage,primary_pipeline_last_completed_stage,primary_pipeline_error_type,primary_scan_hits,primary_recommendations,primary_bets,primary_cache_only,shadow_state,shadow_observation_result,shadow_pipeline_stage,shadow_pipeline_last_completed_stage,shadow_pipeline_error_type,shadow_scan_hits,shadow_recommendations,shadow_bets,shadow_cache_only,primary_issue,shadow_issue,primary_cache_miss,shadow_cache_miss,day_bucket,takeaway,valid_evidence_scope,evidence_boundary_text
2026-07-19,out/daily_portfolio_runs/2026-07-19,NO TARGETS,No active OP/CD cards across 55 NYRA card(s). Shadow-only tracks present: DMR.,ok,Preflight context: no primary paper-basket target tracks (OP / CD) are racing today across 55 NYRA card(s). Shadow-only tracks present: DMR.,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,NO TARGETS,"No active OP/CD cards. Empty primary lane is expected, not evidence of a miss.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-07-17,out/daily_portfolio_runs/2026-07-17,NO TARGETS,No active OP/CD cards across 52 NYRA card(s).,ok,Preflight context: no primary paper-basket target tracks (OP / CD) are racing today across 52 NYRA card(s).,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,NO TARGETS,"No active OP/CD cards. Empty primary lane is expected, not evidence of a miss.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-07-16,out/daily_portfolio_runs/2026-07-16,NO TARGETS,No active OP/CD cards across 42 NYRA card(s).,ok,Preflight context: no primary paper-basket target tracks (OP / CD) are racing today across 42 NYRA card(s).,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,NO TARGETS,"No active OP/CD cards. Empty primary lane is expected, not evidence of a miss.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-07-14,out/daily_portfolio_runs/2026-07-14,NO TARGETS,No active OP/CD cards across 40 NYRA card(s).,ok,Preflight context: no primary paper-basket target tracks (OP / CD) are racing today across 40 NYRA card(s).,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,NO TARGETS,"No active OP/CD cards. Empty primary lane is expected, not evidence of a miss.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-07-13,out/daily_portfolio_runs/2026-07-13,NO TARGETS,No active OP/CD cards across 50 NYRA card(s).,ok,Preflight context: no primary paper-basket target tracks (OP / CD) are racing today across 50 NYRA card(s).,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,NO TARGETS,"No active OP/CD cards. Empty primary lane is expected, not evidence of a miss.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-06-26,out/daily_portfolio_runs/2026-06-26,UNKNOWN,Preflight API error: 403 Client Error: Forbidden for url: https://brk0201-iapi-webservice.nyrabets.com/ListCards.ashx,ok,Preflight context: NYRA preflight check failed (403 Client Error: Forbidden for url: https://brk0201-iapi-webservice.nyrabets.com/ListCards.ashx). Treat calendar state as unknown.,SCANNER API ACCESS FAILURE,scanner_failed_empty_run,done,logger,,0,0,0,False,SCANNER API ACCESS FAILURE,scanner_failed_empty_run,done,logger,,0,0,0,False,True,True,False,False,ISSUE,"Primary lane scanner API access failure before producing a usable lane result. Detail: 403 Client Error: Forbidden for url: https://brk0201-iapi-webservice.nyrabets.com/ListCards.ashx. Treat this as API-access-failure operator context only, not a no-target, clean-empty, settled ROI, promotion, live-profitability, or real-money evidence. Sidecar action: refresh_daily_wrapper_before_evidence_read. Recheck command: ./run_daily_portfolio_observation.sh. Refresh the daily wrapper and re-check sidecars before treating the day as evidence.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-06-20,out/daily_portfolio_runs/2026-06-20,OP/CD ACTIVE,Active-basket tracks racing: CD.,ok,Preflight context: primary paper-basket target tracks racing today: CD. Excluded track aliases present: BAQ (not treated as BEL).,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,"ACTIVE, ZERO HITS","OP/CD were active, but the primary lane found zero qualifying hits.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-06-19,out/daily_portfolio_runs/2026-06-19,OP/CD ACTIVE,Active-basket tracks racing: CD.,ok,Preflight context: primary paper-basket target tracks racing today: CD. Excluded track aliases present: BAQ (not treated as BEL).,"SIGNALS, NO BET",signals_logged_no_bet,done,logger,,1,1,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,"ACTIVE, HITS FOUND","OP/CD were active and the primary lane found 1 hit(s), but nothing reached a bet-ready state.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-06-17,out/daily_portfolio_runs/2026-06-17,NO TARGETS,No active OP/CD cards across 45 NYRA card(s).,ok,Preflight context: no primary paper-basket target tracks (OP / CD) are racing today across 45 NYRA card(s).,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,NO TARGETS,"No active OP/CD cards. Empty primary lane is expected, not evidence of a miss.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-06-16,out/daily_portfolio_runs/2026-06-16,NO TARGETS,No active OP/CD cards across 45 NYRA card(s).,ok,Preflight context: no primary paper-basket target tracks (OP / CD) are racing today across 45 NYRA card(s).,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,NO TARGETS,"No active OP/CD cards. Empty primary lane is expected, not evidence of a miss.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-06-15,out/daily_portfolio_runs/2026-06-15,OP/CD ACTIVE,Active-basket tracks racing: CD.,ok,Preflight context: primary paper-basket target tracks racing today: CD. Shadow-only tracks also present: SA. Excluded track aliases present: BAQ (not treated as BEL).,"SIGNALS, NO BET",signals_logged_no_bet,done,logger,,1,1,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,"ACTIVE, HITS FOUND","OP/CD were active and the primary lane found 1 hit(s), but nothing reached a bet-ready state.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-06-12,out/daily_portfolio_runs/2026-06-12,OP/CD ACTIVE,Active-basket tracks racing: CD.,ok,Preflight context: primary paper-basket target tracks racing today: CD. Shadow-only tracks also present: SA. Excluded track aliases present: BAQ (not treated as BEL).,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,"ACTIVE, ZERO HITS","OP/CD were active, but the primary lane found zero qualifying hits.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-06-11,out/daily_portfolio_runs/2026-06-11,OP/CD ACTIVE,Active-basket tracks racing: CD.,ok,Preflight context: primary paper-basket target tracks racing today: CD.,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,"SIGNALS, NO BET",signals_logged_no_bet,done,logger,,1,1,0,False,False,False,False,False,"ACTIVE, ZERO HITS","OP/CD were active, but the primary lane found zero qualifying hits.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
2026-06-09,out/daily_portfolio_runs/2026-06-09,NO TARGETS,No active OP/CD cards across 44 NYRA card(s).,ok,Preflight context: no primary paper-basket target tracks (OP / CD) are racing today across 44 NYRA card(s).,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,CLEAN EMPTY,clean_empty_run,done,logger,,0,0,0,False,False,False,False,False,NO TARGETS,"No active OP/CD cards. Empty primary lane is expected, not evidence of a miss.",rolling_operator_recap_only,"OPS history rows are rolling operator recap metadata only; day buckets, streaks, no-target rows, clean-empty rows, limited-coverage rows, bet-ready rows, and issue routing are not current-day scanner evidence by themselves, live paper-trade ledger evidence, settled ROI, promotion readiness, live-profitability evidence, real-money support, or BAQ-as-BEL evidence."
